Aircraft,System,NO,AJL/DMI,DEFECT/TASK,STATUS,SPARES,DFP,REMARKS,ROBBING DECLARATION,RECEIVING AIRCRAFT,9M-LDJ Compatibility,MATPLAN UPDATE,SPARE EDD,OPTION,BOOK
9M-LNR,FIRE PROTECTION,,,,,JUMPER/940CW20-12/BACJ40AB20-12/QTY:1/AVAIL K102,,,CAMO/MCC/RD/B737/2025/1352,9M-LCM,COMP,PO 2285271 // THE BOEING COMPANY // PENDING PAYMENT,,,
9M-LNR,FIRE PROTECTION,90,A758070 D2,TO INSTALL FWB BOTTLE ASSY-FIRE EXT ONCE SPARE AVAIL,OPEN,"33700002/BOTTLE ASSY-FIRE EXT,AUX PWR SYS/QTY:1/RQ:942469",,,,,,,,,BOOK 7
9M-LNR,APU,49,A758058 D2,TO INSTALL APU IGNITER PLUG ONCE SPARE AVAIL,OPEN,,,,,,,,,,BOOK 9
9M-LNR,APU,72,A758361 D2,TO INSTALL APU IGNITOR PLUG ON APU SN: P-8452 ONCE SPARE AVAIL,OPEN,305766-1//IGNITER PLUG//QTY:1//RQ:939481,,,CAMO/MCC/RD/B737/2025/1662,,COMP,AVAILABLE AT K102 // PL NO 484657,,,BOOK 7
9M-LNR,OTHERS,6,A766809 D2,TO INSTALL IDG #2 ONCE SPARE AVAILABLE,OPEN,761574B//INTEGRATED DRIVE GENERATOR ASSY (IDG)//QTY:1//RQ:925741,,,CAMO/MCC/RD/B737/2025/1456,9M-LCM,COMP,TBC,,,BOOK 1
9M-LNR,OTHERS,,,,,M83248-1-911//PACKING PREFORMED O-RING//QTY:1//RQ:925741,,,,,,,,,
9M-LNR,OTHERS,,,,,M83248-1-216//PACKING-PREFORMED//QTY:1//RQ:925741,,,,,,,,,
9M-LNR,OTHERS,11,A766817 D2,TO INSTALL UNIVERSAL ASSY ON RH NOSELDG GEAR DOOR LINKAGE ASSY ONCE SPARE AVAILABLE,OPEN,162A3107-1//UNIVERSAL ASSY//QTY:1//RQ:943089,,,CAMO/MCC/RD/B737/2025/1353,9M-LCM,COMP,PO 2285271 // THE BOEING COMPANY // PENDING PAYMENT,,,BOOK 1
9M-LNR,OTHERS,12,A766818 D2,TO INSTALL SHOULDER BOLT ON RH NOSE LDG GEAR DOOR TO LINKAGE ASSY ONCE SPARE AVAILABLE,OPEN,162A3109-2//BOLT SHOULDER//QTY:2//RQ:943095,,,CAMO/MCC/RD/B737/2025/1354,9M-LCM,COMP,PO 2285271 // THE BOEING COMPANY // PENDING PAYMENT,,,BOOK 1
9M-LNR,OTHERS,13,A766819 D2,TO INSTALL NUT AT SHOULDER BOLT OF NLG DOOR TO LINKAGE ATTACHMENT ONCE SPARE AVAILABLE,OPEN,BACP18BC02A06P/QTY:1/AVAIL K102,,,,,,,,,BOOK 1
9M-LNR,OTHERS,,,,,162A3110-1/WASHER/QTY:1/RQ:943244,,,,,,,,,
9M-LNR,OTHERS,,,,,RQ:943243,,,,,,,,,
9M-LNR,OTHERS,16,A766823 D1,WRT AJL A766822 (2) POST INSTALLATION OF NOSE WHEEL STEERING SYSTEM L/H PULLEY. TO CARRY OUT STEERING CABLE TENSION ADJUSTMENT AND STEERING SYSTEM ADJUSTMNET AND TEST,OPEN,,,,,,,,,,BOOK 1
9M-LNR,OTHERS,17,A766824 D1,TO RE-INSTALL NOSE WHEEL WELL LH TOP ACCESS PANEL,OPEN,69-55179-78/MODULE ASSY MODULE-INDICATOR LIGHT DIMMING/QTY:1/RQ:943164,,,CAMO/MCC/RD/B737/2025/1414,9M-LCW,COMP,"CLOSED, PART ISSUED",,,BOOK 1
9M-LNR,OTHERS,33,A766841 D2,TO INSTALL IDG ENGINE NO 1 ONCE SPARE AVAILABLE,OPEN,761574B/INTEGRATED DRIVE GENERATOR ASSY (IDG)/QTY:1/RQ:943163,,,CAMO/MCC/RD/B737/2025/1371,9M-LRH,COMP,TBC,,,BOOK 1
9M-LNR,OTHERS,52,A758062 D1,TO INSTALL PRIMARY NOZZLE ASSY ONCE SPARE AVAILABLE,OPEN,,,,,,,,,,BOOK 2
9M-LNR,OTHERS,53,A758062 D2,TO INSTALL PRIMARY PLUG ASSEMBLY ONCE SPARE AVAILABLE,OPEN,,,,,,,,,,BOOK 2
9M-LNR,OTHERS,55,A758064 D2,TO INSTALL #2 ENGINE EDP ONCE SPARE AVAILABLE (RQ:938117),OPEN,66087//HYDRAULIC PUMP//QTY:1//RQ:938117,,,,,,,,,BOOK 2
9M-LNR,OTHERS,83,A758374 D2,WRT AJL A758374 (1) TO INSTALL NWW TOP R/H PRESSURE PANEL,OPEN,NAS1523AA4R//PACKING//QTY:40//RQ:939924,,,,,,,,,BOOK 3
